Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts
2018-07-04,77.6,74.35,76.7,8664078,6601.7729,2229
2018-07-05,79,76.25,78.2,9367421,7326.982114,2865
2018-07-06,78.85,72.75,73.35,6421244,4853.0821,3463
2018-07-07,75.35,72.7,74.9,4558713,3382.417089,2326
2018-07-08,75.8,73.6,75.05,3305924,2474.123372,1415
2018-07-09,75.95,73.85,75.2,3672000,2760.899149,1516
2018-07-10,75.8,73.5,73.8,2481496,1846.577223,1226
2018-07-11,76.95,73.9,74.45,9600604,7263.514821,3031
2018-07-12,74.95,72.9,74,3114148,2299.516589,1673
2018-07-13,76.5,74.15,76.2,3673610,2785.317456,1846
2018-07-14,78.7,75.1,77.9,4917413,3801.457853,3862
2018-07-15,78.95,74.05,74.6,5822581,4481.39751,3492
2018-07-16,77.35,74.8,75.55,5377830,4087.451564,2610
2018-07-17,76.5,68.25,72.9,11584620,8485.104181,3923
2018-07-18,72.9,68.1,69.1,5131356,3570.97957,4735
2018-07-19,71.3,68,70.3,6281761,4389.983088,4906
2018-07-20,70.95,68.9,70.25,3273684,2290.363384,5063
2018-07-21,70.65,68.2,68.6,3697390,2562.193381,7722
2018-07-22,69.35,65.5,65.85,4314947,2902.974424,2905
2018-07-23,68.4,64.8,67.95,5836832,3912.71612,2026
2018-07-24,69.25,66.35,67.5,3650280,2478.193214,2261
2018-07-25,68,66.1,66.85,2925150,1957.747733,1446
2018-07-26,67.5,62.3,62.85,3751740,2418.965838,1842
2018-07-27,65.3,60.35,61.5,4837741,3029.928916,2529
2018-07-28,62.4,59.8,60.95,4969265,3038.206707,1839
2018-07-29,65.45,61.25,65,5665257,3580.651033,2454
2018-07-30,63.9,61.6,62.25,5043513,3172.111686,1783
2018-07-31,72.1,62.95,68.85,29093448,19978.73396,11310
2018-08-01,71.6,68.8,71.25,11621446,8224.350858,4332
2018-08-02,74.05,70.5,73.8,11095793,8076.788394,4014
2018-08-03,74.6,71.7,72.55,10862420,7982.359259,3129
2018-08-04,72.4,69.3,70.15,4497227,3173.110277,2812
2018-08-05,71.4,68.8,69.6,7954462,5553.530104,4056
2018-08-06,69.9,67.95,69.45,4377235,3029.60412,3431
2018-08-07,70.9,68.5,69.25,2743564,1901.217499,3567
